"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Payments","External Payments","Services","0","0","16","2","0"
"Games","Reference","Genre","0","0","6","0","0"
"Games","Core","System requirement","0","0","1","5","0"
"Games","Reference","Languages","0","0","19","5","0"
"Games","Reference","Product languages","0","0","1","5","0"
"Games","Community","Comments","0","0","1","0","0"
"Games","Reference","Subgenre","0","0","1","5","0"
"Games","Community","Review","0","0","1","0","0"
"Games","Utils","Filter by price","0","0","1","0","0"
"Games","Utils","Filter by genre","0","0","0","1","0"
"Games","Utils","Filter by platform","0","0","0","1","0"
